from,to,time,week
handan,jiangwan,07:30,weekday
jiangwan,handan,07:40,weekday
jiangwan,handan,08:00,weekday
handan,jiangwan,08:30,weekday
jiangwan,handan,09:00,weekday
handan,jiangwan,09:30,weekday
jiangwan,handan,11:30,weekday
handan,jiangwan,12:00,weekday
jiangwan,handan,14:30,weekday
handan,jiangwan,15:00,weekday
jiangwan,handan,15:30,weekday
handan,jiangwan,16:00,weekday
jiangwan,handan,16:30,weekday
handan,jiangwan,17:00,weekday
jiangwan,handan,17:30,weekday
handan,jiangwan,18:00,weekday
jiangwan,handan,18:30,weekday
jiangwan,handan,20:00,weekday
handan,jiangwan,20:30,weekday
jiangwan,handan,21:00,weekday
handan,jiangwan,21:30,weekday
handan,jiangwan,22:30,weekday
jiangwan,handan,22:30,weekday
handan,jiangwan,09:00,weekend
jiangwan,handan,10:00,weekend
handan,jiangwan,21:00,weekend
jiangwan,handan,22:00,weekend
fenglin,handan,07:10,weekday
handan,fenglin,07:20,weekday
fenglin,handan,07:20,weekday
handan,fenglin,11:00,weekday
handan,fenglin,12:30,weekday
fenglin,handan,12:30,weekday
handan,fenglin,16:30,weekday
fenglin,handan,16:30,weekday
handan,zhangjiang,07:30,weekday
handan,zhangjiang,08:30,weekday
zhangjiang,handan,08:30,weekday
zhangjiang,handan,09:30,weekday
handan,zhangjiang,11:50,weekday
zhangjiang,handan,12:30,weekday
handan,zhangjiang,15:30,weekday
zhangjiang,handan,16:30,weekday
handan,zhangjiang,17:30,weekday
zhangjiang,handan,18:30,weekday
handan,zhangjiang,20:30,weekday
zhangjiang,handan,21:30,weekday
fenglin,zhangjiang,08:00,weekday
zhangjiang,fenglin,09:00,weekday
fenglin,zhangjiang,11:00,weekday
zhangjiang,fenglin,12:15,weekday
fenglin,zhangjiang,15:30,weekday
zhangjiang,fenglin,16:30,weekday
jiangwan,zhangjiang,07:25,weekday
zhangjiang,jiangwan,08:45,weekday
jiangwan,zhangjiang,15:45,weekday
zhangjiang,jiangwan,17:00,weekday
