from,to,time,amount,week
handan,fenglin,07:20,1,weekday
fenglin,handan,07:20,1,weekday
handan,fenglin,11:00,1,weekday
fenglin,handan,12:30,1,weekday
handan,fenglin,16:30,1,weekday
fenglin,handan,16:30,1,weekday
fenglin,zhangjiang,08:00,1,weekday
zhangjiang,fenglin,09:00,1,weekday
fenglin,zhangjiang,11:00,1,weekday
zhangjiang,fenglin,12:15,1,weekday
fenglin,zhangjiang,15:30,1,weekday
zhangjiang,fenglin,16:30,1,weekday
handan,jiangwan,07:30,1,weekday
jiangwan,handan,07:40,1,weekday
jiangwan,handan,08:00,1,weekday
handan,jiangwan,08:30,1,weekday
jiangwan,handan,09:00,1,weekday
handan,jiangwan,09:30,1,weekday
jiangwan,handan,11:30,1,weekday
handan,jiangwan,12:00,1,weekday
jiangwan,handan,14:30,1,weekday
handan,jiangwan,15:00,1,weekday
jiangwan,handan,15:30,1,weekday
handan,jiangwan,16:00,1,weekday
jiangwan,handan,16:30,1,weekday
handan,jiangwan,17:00,1,weekday
jiangwan,handan,17:30,1,weekday
handan,jiangwan,18:00,1,weekday
jiangwan,handan,18:30,1,weekday
jiangwan,handan,20:00,1,weekday
handan,jiangwan,20:30,1,weekday
jiangwan,handan,21:00,1,weekday
handan,jiangwan,21:30,1,weekday
handan,zhangjiang,07:30,1,weekday
zhangjiang,handan,08:15,1,weekday
handan,zhangjiang,08:30,1,weekday
zhangjiang,handan,09:30,1,weekday
handan,zhangjiang,11:50,1,weekday
zhangjiang,handan,12:30,1,weekday
handan,zhangjiang,15:30,1,weekday
zhangjiang,handan,16:30,1,weekday
stu,zhangjiang,08:30,1,weekday
zhangjiang,stu,12:30,1,weekday
stu,zhangjiang,17:30,1,weekday
zhangjiang,stu,21:30,1,weekday